account_id,plan_tier,industry,referral_source,total_tickets,avg_csat,avg_res_time,has_sso,has_webhook,active_days_last_month,churn_flag
ACC_00034,Basic,Real Estate,Paid Search,16,4.0,82.0,0,0,4,0
ACC_00035,Pro,Marketing,LinkedIn,10,4.0,73.0,0,0,7,0
ACC_00036,Pro,SaaS,Partnership,2,4.0,37.0,1,0,4,0
ACC_00037,Basic,Education,Partnership,10,4.0,84.0,1,1,12,0
ACC_00039,Basic,Consulting,Referral,19,4.0,93.0,1,1,5,0
ACC_00041,Pro,Marketing,Paid Search,4,3.0,56.0,1,1,12,0
ACC_00042,Enterprise,Media,Content Marketing,7,3.0,56.0,1,0,7,0
ACC_00043,Basic,Finance,Paid Search,8,4.0,40.0,0,0,6,0
ACC_00044,Pro,Media,Paid Search,14,4.0,82.0,0,0,5,0
ACC_00045,Basic,Marketing,Paid Search,12,3.0,79.0,0,0,8,0
ACC_00047,Pro,E-commerce,Paid Search,7,3.0,71.0,0,0,6,0
ACC_00048,Basic,Media,Events,3,4.0,56.0,0,1,3,0
ACC_00049,Pro,Media,Paid Search,7,4.0,68.0,1,1,8,0
ACC_00050,Pro,Real Estate,Paid Search,15,4.0,65.0,0,0,6,0
ACC_00051,Basic,Education,Paid Search,4,3.0,41.0,1,1,12,0
ACC_00052,Basic,Healthcare,Organic Search,14,4.0,67.0,1,1,10,0
ACC_00053,Enterprise,Education,Content Marketing,2,4.0,73.0,0,1,7,0
ACC_00054,Basic,Finance,Referral,7,4.0,40.0,0,1,8,0
ACC_00055,Basic,E-commerce,LinkedIn,11,4.0,85.0,1,1,8,0
ACC_00057,Enterprise,E-commerce,Content Marketing,3,4.0,109.0,0,0,7,0
ACC_00058,Pro,Media,Paid Search,12,4.0,73.0,1,0,8,0
ACC_00059,Pro,Manufacturing,Partnership,6,4.0,39.0,0,0,5,0
ACC_00060,Basic,SaaS,Organic Search,10,4.0,51.0,1,1,12,0
ACC_00061,Pro,SaaS,Partnership,8,4.0,56.0,0,0,4,0
ACC_00062,Basic,Consulting,Referral,10,4.0,49.0,1,0,14,0
ACC_00063,Basic,Consulting,Direct,14,4.0,69.0,1,1,11,0
ACC_00065,Enterprise,Education,Organic Search,16,3.0,69.0,1,1,4,0
ACC_00066,Pro,E-commerce,Content Marketing,12,4.0,66.0,1,1,12,0
ACC_00067,Enterprise,Manufacturing,Referral,4,4.0,51.0,1,1,8,0
ACC_00068,Basic,Manufacturing,Paid Search,5,4.0,60.0,1,1,8,0
ACC_00069,Enterprise,Healthcare,Organic Search,4,2.0,65.0,1,0,10,0
ACC_00070,Pro,Real Estate,Paid Search,2,5.0,116.0,1,0,5,0
ACC_00071,Pro,Consulting,Content Marketing,4,4.0,124.0,0,0,7,0
ACC_00072,Pro,Manufacturing,Paid Search,10,4.0,74.0,0,1,3,0
ACC_00073,Enterprise,Education,Direct,3,3.0,60.0,0,0,7,0
ACC_00075,Enterprise,Real Estate,Paid Search,15,4.0,65.0,0,1,6,0
ACC_00077,Basic,Education,Events,16,4.0,81.0,0,1,6,0
ACC_00078,Pro,Finance,Direct,6,3.0,86.0,0,0,9,0
ACC_00079,Pro,E-commerce,Organic Search,8,4.0,57.0,0,1,6,0
ACC_00080,Enterprise,SaaS,Partnership,14,3.0,61.0,1,0,7,0
ACC_00081,Enterprise,E-commerce,Organic Search,7,3.0,79.0,0,1,8,0
ACC_00082,Basic,Education,LinkedIn,6,4.0,88.0,0,0,4,0
ACC_00083,Enterprise,Education,Organic Search,9,4.0,90.0,1,0,2,0
ACC_00085,Pro,SaaS,LinkedIn,9,3.0,69.0,1,0,10,0
ACC_00086,Pro,Real Estate,Content Marketing,2,5.0,105.0,0,0,7,0
ACC_00087,Basic,E-commerce,LinkedIn,3,3.0,94.0,0,0,6,0
ACC_00088,Pro,Consulting,Partnership,12,4.0,63.0,1,1,10,0
ACC_00089,Pro,Healthcare,Referral,14,4.0,62.0,1,0,6,0
ACC_00091,Basic,Real Estate,Paid Search,12,4.0,89.0,0,1,8,0
ACC_00094,Pro,Media,Organic Search,9,4.0,66.0,0,1,9,0
ACC_00095,Basic,Marketing,Referral,10,4.0,63.0,1,0,12,0
ACC_00097,Basic,Real Estate,Partnership,16,4.0,56.0,0,0,9,0
ACC_00098,Basic,Real Estate,LinkedIn,14,4.0,69.0,0,1,11,0
ACC_00100,Enterprise,Consulting,LinkedIn,4,4.0,90.0,1,0,3,0
ACC_00101,Enterprise,Healthcare,LinkedIn,12,4.0,81.0,0,1,8,0
ACC_00102,Pro,Education,Content Marketing,4,3.0,41.0,0,0,12,0
ACC_00103,Basic,Consulting,Organic Search,12,4.0,75.0,0,0,5,0
ACC_00104,Basic,Manufacturing,Organic Search,14,3.0,61.0,0,0,3,0
ACC_00106,Enterprise,Consulting,LinkedIn,12,3.0,51.0,1,1,11,0
ACC_00107,Enterprise,Marketing,Organic Search,9,4.0,87.0,1,1,12,0
ACC_00108,Pro,Marketing,Organic Search,3,5.0,131.0,0,0,6,0
ACC_00109,Pro,Manufacturing,Organic Search,11,3.0,81.0,0,1,10,0
ACC_00111,Pro,Education,Events,4,3.0,74.0,1,1,14,0
ACC_00113,Basic,Finance,Partnership,2,4.0,85.0,0,0,4,0
ACC_00114,Pro,Consulting,LinkedIn,7,4.0,53.0,0,0,8,0
ACC_00115,Enterprise,Real Estate,LinkedIn,6,3.0,74.0,0,1,8,0
ACC_00116,Basic,Manufacturing,LinkedIn,5,5.0,78.0,0,0,2,0
ACC_00117,Basic,Healthcare,Content Marketing,7,4.0,67.0,0,0,8,0
ACC_00118,Enterprise,Consulting,Organic Search,10,4.0,77.0,0,0,7,0
ACC_00119,Basic,Education,Paid Search,10,4.0,56.0,0,1,6,0
ACC_00120,Basic,Healthcare,Partnership,3,3.0,109.0,1,0,10,0
ACC_00121,Basic,Finance,LinkedIn,14,4.0,73.0,0,1,5,0
ACC_00122,Basic,Manufacturing,Paid Search,19,4.0,59.0,1,1,8,0
ACC_00123,Enterprise,Manufacturing,Content Marketing,9,4.0,89.0,0,1,9,0
ACC_00124,Enterprise,Healthcare,Organic Search,6,4.0,69.0,0,0,1,0
ACC_00125,Enterprise,Marketing,Organic Search,13,4.0,63.0,0,0,2,0
ACC_00127,Basic,Manufacturing,Paid Search,4,3.0,75.0,1,0,8,0
ACC_00128,Basic,Consulting,Paid Search,4,4.0,73.0,0,1,13,0
ACC_00129,Enterprise,E-commerce,LinkedIn,5,3.0,85.0,0,1,4,0
ACC_00130,Enterprise,Real Estate,Organic Search,9,4.0,87.0,0,0,5,0
ACC_00131,Enterprise,E-commerce,Organic Search,10,4.0,65.0,0,0,4,0
ACC_00133,Pro,SaaS,LinkedIn,14,4.0,58.0,0,0,7,0
ACC_00134,Basic,E-commerce,LinkedIn,12,4.0,52.0,1,0,12,0
ACC_00135,Enterprise,Real Estate,Paid Search,15,4.0,58.0,0,0,8,0
ACC_00136,Pro,E-commerce,Paid Search,5,4.0,67.0,1,1,9,0
ACC_00137,Basic,Manufacturing,Partnership,4,4.0,76.0,1,1,11,0
ACC_00138,Pro,Finance,Partnership,16,4.0,74.0,1,0,8,0
ACC_00139,Enterprise,Marketing,Paid Search,5,4.0,80.0,0,1,6,0
ACC_00140,Basic,Education,Organic Search,2,3.0,146.0,1,0,13,0
ACC_00141,Pro,Education,Paid Search,4,3.0,79.0,0,0,4,0
ACC_00143,Basic,Manufacturing,LinkedIn,4,3.0,38.0,0,0,10,0
ACC_00145,Basic,Media,Organic Search,13,4.0,68.0,1,0,10,0
ACC_00146,Basic,Media,Paid Search,10,3.0,66.0,0,0,4,0
ACC_00147,Pro,Consulting,Partnership,4,5.0,88.0,0,0,1,0
ACC_00148,Pro,SaaS,Paid Search,16,4.0,81.0,0,0,4,0
ACC_00149,Basic,SaaS,Content Marketing,4,4.0,99.0,0,1,7,0
ACC_00152,Basic,E-commerce,LinkedIn,4,4.0,70.0,1,1,10,0
ACC_00155,Enterprise,Consulting,Organic Search,8,4.0,40.0,0,0,7,0
ACC_00156,Enterprise,SaaS,Content Marketing,6,3.0,72.0,0,0,6,0
ACC_00157,Basic,Media,Content Marketing,3,4.0,31.0,0,0,1,0
ACC_00158,Pro,Education,Paid Search,14,4.0,68.0,0,1,3,0
ACC_00159,Pro,E-commerce,Partnership,5,3.0,86.0,0,0,2,0
ACC_00160,Basic,Media,Content Marketing,10,4.0,82.0,1,0,3,0
ACC_00161,Pro,Education,Paid Search,12,4.0,54.0,0,0,7,0
ACC_00162,Pro,Marketing,Content Marketing,4,4.0,140.0,1,1,10,0
ACC_00163,Pro,Finance,Organic Search,3,4.0,50.0,0,0,4,0
ACC_00164,Pro,Healthcare,Organic Search,4,5.0,39.0,0,1,11,0
ACC_00165,Pro,Consulting,LinkedIn,12,4.0,60.0,0,1,9,0
ACC_00166,Basic,E-commerce,Organic Search,11,3.0,59.0,1,1,10,0
ACC_00167,Basic,SaaS,Organic Search,17,3.0,54.0,0,1,8,0
ACC_00170,Basic,Media,Paid Search,6,4.0,93.0,0,0,6,0
ACC_00171,Enterprise,Education,Organic Search,15,4.0,57.0,0,0,10,0
ACC_00172,Pro,E-commerce,Events,15,4.0,91.0,0,0,4,0
ACC_00173,Pro,Healthcare,Organic Search,1,5.0,5.0,0,1,5,0
ACC_00174,Basic,Finance,Referral,2,3.0,34.0,0,1,9,0
ACC_00175,Pro,E-commerce,Paid Search,3,3.0,54.0,1,0,5,0
ACC_00176,Pro,Education,Content Marketing,13,3.0,79.0,0,1,2,0
ACC_00177,Enterprise,Finance,Paid Search,11,4.0,75.0,1,0,11,0
ACC_00178,Pro,Manufacturing,Content Marketing,12,4.0,75.0,0,0,10,0
ACC_00179,Enterprise,Consulting,Organic Search,6,4.0,49.0,1,0,6,0
ACC_00180,Basic,Media,Referral,8,4.0,51.0,0,1,4,0
ACC_00182,Basic,SaaS,Organic Search,9,4.0,58.0,0,0,8,0
ACC_00183,Basic,Finance,LinkedIn,10,4.0,42.0,1,0,3,0
ACC_00185,Basic,Marketing,LinkedIn,5,4.0,41.0,1,1,13,0
ACC_00186,Basic,Healthcare,LinkedIn,8,4.0,63.0,0,0,8,0
ACC_00187,Basic,Media,Organic Search,7,4.0,29.0,1,0,14,0
ACC_00188,Enterprise,Real Estate,Paid Search,4,3.0,64.0,0,0,11,0
ACC_00189,Enterprise,Finance,Organic Search,2,4.0,61.0,0,1,9,0
ACC_00190,Enterprise,Healthcare,Paid Search,16,4.0,64.0,1,1,6,0
ACC_00192,Basic,Manufacturing,Organic Search,9,4.0,102.0,0,0,5,0
ACC_00193,Basic,Healthcare,Partnership,8,4.0,95.0,1,1,9,0
ACC_00194,Enterprise,Consulting,LinkedIn,10,4.0,59.0,0,1,5,0
ACC_00195,Basic,Marketing,Paid Search,12,4.0,67.0,0,1,6,0
ACC_00196,Basic,Education,Paid Search,3,4.0,60.0,1,0,6,0
ACC_00197,Pro,Consulting,Partnership,16,4.0,64.0,0,0,2,0
ACC_00198,Pro,Consulting,Organic Search,11,4.0,77.0,0,0,7,0
ACC_00199,Basic,E-commerce,LinkedIn,6,5.0,77.0,0,1,12,0
ACC_00200,Basic,Media,Organic Search,14,4.0,63.0,1,1,10,0
ACC_00201,Pro,SaaS,Organic Search,6,3.0,67.0,1,0,10,0
ACC_00202,Pro,Consulting,Referral,1,4.0,67.0,0,1,10,0
ACC_00203,Enterprise,Real Estate,LinkedIn,11,4.0,68.0,0,1,9,0
ACC_00204,Enterprise,Consulting,Paid Search,12,4.0,88.0,0,1,9,0
ACC_00205,Pro,Finance,Events,9,4.0,55.0,0,0,7,0
ACC_00206,Basic,Finance,Organic Search,5,4.0,61.0,1,0,8,0
ACC_00207,Basic,Finance,Paid Search,5,4.0,49.0,1,0,3,0
ACC_00208,Pro,SaaS,Partnership,16,4.0,54.0,0,0,9,0
ACC_00209,Pro,Manufacturing,LinkedIn,10,4.0,52.0,0,1,4,0
ACC_00210,Basic,E-commerce,Partnership,14,3.0,69.0,0,0,7,0
ACC_00212,Basic,Real Estate,Paid Search,6,4.0,69.0,0,0,9,0
ACC_00213,Pro,Marketing,Paid Search,11,4.0,88.0,0,1,8,0
ACC_00216,Enterprise,Media,Content Marketing,10,4.0,83.0,1,1,14,0
ACC_00217,Pro,Consulting,Organic Search,17,4.0,76.0,1,0,10,0
ACC_00219,Enterprise,Healthcare,Organic Search,8,4.0,93.0,0,0,5,0
ACC_00220,Enterprise,Finance,Direct,4,3.0,55.0,0,0,10,0
ACC_00221,Pro,Education,Content Marketing,15,4.0,82.0,0,1,11,0
ACC_00222,Basic,Manufacturing,LinkedIn,21,4.0,69.0,1,1,7,0
ACC_00223,Basic,Healthcare,Organic Search,10,3.0,58.0,1,0,7,0
ACC_00224,Enterprise,Marketing,Organic Search,3,3.0,84.0,1,1,10,0
ACC_00225,Enterprise,E-commerce,Referral,3,4.0,40.0,1,0,6,0
ACC_00226,Enterprise,Healthcare,Organic Search,5,3.0,41.0,0,0,7,0
ACC_00227,Basic,E-commerce,Organic Search,11,4.0,59.0,0,0,4,0
ACC_00229,Pro,Marketing,Referral,2,4.0,72.0,1,1,12,0
ACC_00230,Enterprise,Real Estate,Paid Search,13,4.0,64.0,1,0,11,0
ACC_00231,Basic,Consulting,LinkedIn,7,4.0,79.0,1,1,12,0
ACC_00232,Basic,Media,LinkedIn,4,4.0,78.0,0,0,3,0
ACC_00233,Enterprise,Education,Organic Search,6,4.0,59.0,1,0,7,0
ACC_00234,Pro,Real Estate,Content Marketing,11,3.0,81.0,0,0,4,0
ACC_00237,Basic,Finance,Organic Search,16,4.0,74.0,1,0,8,0
ACC_00238,Basic,Consulting,Organic Search,3,4.0,43.0,0,0,4,0
ACC_00239,Enterprise,Manufacturing,Organic Search,2,4.0,39.0,0,0,8,0
ACC_00240,Pro,SaaS,LinkedIn,1,4.0,26.0,0,0,7,0
ACC_00241,Basic,Marketing,Partnership,5,4.0,60.0,0,1,9,0
ACC_00242,Basic,Manufacturing,LinkedIn,7,4.0,65.0,0,1,7,0
ACC_00243,Basic,Real Estate,Organic Search,13,3.0,55.0,0,0,7,0
ACC_00244,Pro,SaaS,Referral,13,3.0,56.0,1,0,9,0
ACC_00245,Basic,Real Estate,Organic Search,5,4.0,62.0,1,0,3,0
ACC_00246,Pro,Finance,Content Marketing,14,4.0,60.0,1,1,10,0
ACC_00247,Pro,Real Estate,Partnership,16,4.0,69.0,1,1,11,0
ACC_00248,Basic,Healthcare,Referral,10,4.0,68.0,1,1,13,0
ACC_00249,Basic,Real Estate,LinkedIn,16,4.0,71.0,0,1,7,0
ACC_00250,Enterprise,Manufacturing,Content Marketing,11,4.0,57.0,0,1,12,0
ACC_00251,Basic,E-commerce,Content Marketing,15,4.0,56.0,0,1,4,0
ACC_00252,Pro,Marketing,Direct,10,3.0,69.0,1,1,5,0
ACC_00253,Pro,Consulting,Organic Search,8,3.0,56.0,0,0,3,0
ACC_00254,Enterprise,Real Estate,Organic Search,10,4.0,108.0,0,0,8,0
ACC_00256,Enterprise,Marketing,Organic Search,2,4.0,63.0,0,0,8,0
ACC_00257,Basic,Education,Organic Search,5,4.0,89.0,1,0,6,0
ACC_00259,Pro,SaaS,Partnership,6,3.0,88.0,0,0,4,0
ACC_00260,Enterprise,Finance,Paid Search,15,4.0,68.0,0,1,2,0
ACC_00261,Pro,Finance,Events,14,4.0,82.0,1,1,11,0
ACC_00262,Enterprise,SaaS,LinkedIn,11,3.0,73.0,0,0,4,0
ACC_00263,Enterprise,Finance,Organic Search,10,4.0,87.0,1,1,11,0
ACC_00265,Pro,E-commerce,Referral,5,3.0,36.0,0,0,12,0
ACC_00266,Basic,Finance,LinkedIn,9,4.0,86.0,0,0,6,0
ACC_00267,Basic,Manufacturing,Paid Search,11,3.0,47.0,0,0,3,0
ACC_00268,Basic,Finance,Content Marketing,14,4.0,62.0,0,0,7,0
ACC_00269,Pro,Healthcare,Referral,9,4.0,77.0,0,0,6,0
ACC_00270,Enterprise,Finance,Paid Search,6,3.0,68.0,0,1,12,0
ACC_00271,Pro,E-commerce,Paid Search,5,2.0,52.0,0,1,9,0
ACC_00272,Pro,Education,Organic Search,3,4.0,76.0,1,1,11,0
ACC_00273,Enterprise,Healthcare,Paid Search,16,4.0,53.0,0,0,7,0
ACC_00274,Pro,Healthcare,Organic Search,5,4.0,79.0,1,0,8,0
ACC_00275,Enterprise,Marketing,Direct,3,3.0,87.0,0,1,4,0
ACC_00276,Basic,SaaS,Organic Search,11,4.0,57.0,0,0,7,0
ACC_00277,Enterprise,Education,LinkedIn,18,4.0,68.0,1,1,13,0
ACC_00278,Pro,Real Estate,Organic Search,15,4.0,69.0,0,0,11,0
ACC_00280,Basic,Education,LinkedIn,6,4.0,63.0,0,0,7,0
ACC_00282,Enterprise,SaaS,Partnership,3,3.0,75.0,0,1,4,0
ACC_00283,Basic,Healthcare,Partnership,5,4.0,109.0,0,0,7,0
ACC_00284,Pro,Education,LinkedIn,13,3.0,74.0,1,1,13,0
ACC_00285,Pro,E-commerce,Paid Search,17,4.0,58.0,0,0,8,0
ACC_00288,Enterprise,E-commerce,Organic Search,8,4.0,49.0,0,0,7,0
ACC_00290,Pro,E-commerce,LinkedIn,13,4.0,75.0,0,1,13,0
ACC_00291,Pro,SaaS,Paid Search,6,4.0,44.0,1,0,11,0
ACC_00292,Pro,Education,LinkedIn,8,4.0,65.0,0,1,7,0
ACC_00293,Basic,Healthcare,Paid Search,9,4.0,59.0,0,1,9,0
ACC_00294,Basic,Real Estate,Content Marketing,7,4.0,63.0,1,1,10,0
ACC_00295,Pro,Marketing,Organic Search,12,4.0,68.0,0,1,8,0
ACC_00297,Basic,Healthcare,Organic Search,9,4.0,72.0,0,0,10,0
ACC_00298,Pro,Media,Paid Search,14,4.0,83.0,1,0,8,0
ACC_00299,Basic,Finance,LinkedIn,7,4.0,47.0,0,1,2,0
ACC_00300,Pro,E-commerce,Organic Search,8,4.0,73.0,1,1,14,0
ACC_00301,Pro,Media,Partnership,10,4.0,98.0,1,1,10,0
ACC_00302,Pro,SaaS,Organic Search,15,4.0,44.0,0,1,10,0
ACC_00303,Pro,Consulting,Content Marketing,16,4.0,82.0,1,0,2,0
ACC_00304,Pro,Marketing,Partnership,17,4.0,58.0,0,0,5,0
ACC_00305,Enterprise,Media,Organic Search,7,4.0,77.0,1,0,10,0
ACC_00306,Enterprise,Finance,Paid Search,6,3.0,77.0,1,1,8,0
ACC_00307,Enterprise,Healthcare,LinkedIn,9,3.0,70.0,1,0,6,0
ACC_00308,Basic,Real Estate,Paid Search,16,3.0,90.0,0,0,8,0
ACC_00311,Basic,Media,Paid Search,1,4.0,45.0,0,0,13,0
ACC_00312,Enterprise,Media,Paid Search,17,3.0,72.0,0,0,5,0
ACC_00313,Enterprise,E-commerce,LinkedIn,10,4.0,55.0,1,1,12,0
ACC_00317,Enterprise,Manufacturing,Referral,19,4.0,74.0,0,0,9,0
ACC_00318,Basic,E-commerce,LinkedIn,11,4.0,55.0,1,0,8,0
ACC_00320,Pro,Marketing,LinkedIn,16,4.0,59.0,0,0,5,0
ACC_00321,Enterprise,Education,Paid Search,11,4.0,58.0,0,0,6,0
ACC_00322,Pro,Consulting,Partnership,2,4.0,48.0,0,0,8,0
ACC_00323,Pro,Manufacturing,Paid Search,4,3.0,47.0,0,1,15,0
ACC_00324,Basic,E-commerce,Paid Search,3,2.0,92.0,1,1,5,0
ACC_00325,Basic,Consulting,Content Marketing,11,4.0,41.0,0,0,3,0
ACC_00326,Basic,E-commerce,Content Marketing,2,5.0,80.0,0,0,5,0
ACC_00327,Basic,E-commerce,LinkedIn,6,4.0,95.0,1,0,7,0
ACC_00328,Basic,Education,Content Marketing,8,3.0,82.0,0,0,7,0
ACC_00329,Enterprise,Real Estate,Paid Search,8,3.0,41.0,0,1,2,0
ACC_00331,Pro,Consulting,Organic Search,20,4.0,51.0,1,1,6,0
ACC_00332,Enterprise,Healthcare,Organic Search,7,3.0,71.0,1,1,9,0
ACC_00333,Enterprise,Consulting,LinkedIn,8,4.0,89.0,1,0,12,0
ACC_00334,Basic,Manufacturing,Content Marketing,7,2.0,49.0,1,1,6,0
ACC_00335,Enterprise,Media,Paid Search,17,4.0,72.0,0,1,9,0
ACC_00336,Pro,Finance,Partnership,6,4.0,103.0,1,0,8,0
ACC_00337,Basic,Marketing,Organic Search,5,4.0,54.0,0,1,6,0
ACC_00338,Basic,Media,Paid Search,2,3.0,103.0,1,1,5,0
ACC_00339,Basic,Healthcare,Referral,19,4.0,61.0,1,0,9,0
ACC_00340,Enterprise,Finance,Content Marketing,9,5.0,71.0,1,1,7,0
ACC_00341,Basic,Healthcare,Organic Search,10,4.0,61.0,1,0,10,0
ACC_00344,Enterprise,Real Estate,Content Marketing,7,3.0,71.0,1,1,10,0
ACC_00345,Basic,Manufacturing,Organic Search,11,4.0,70.0,0,1,2,0
ACC_00346,Basic,Finance,Partnership,12,4.0,86.0,0,0,9,0
ACC_00347,Basic,Consulting,Paid Search,6,5.0,111.0,1,0,10,0
ACC_00349,Enterprise,Education,Organic Search,18,5.0,61.0,1,0,10,0
ACC_00350,Pro,Healthcare,Organic Search,4,5.0,48.0,1,1,4,0
ACC_00352,Enterprise,Education,LinkedIn,6,4.0,47.0,0,0,2,0
ACC_00353,Basic,Healthcare,LinkedIn,10,4.0,45.0,1,0,4,0
ACC_00354,Enterprise,Consulting,Content Marketing,13,4.0,67.0,0,0,11,0
ACC_00355,Basic,Marketing,Organic Search,11,3.0,94.0,1,0,3,0
ACC_00356,Enterprise,Finance,Content Marketing,5,3.0,80.0,1,0,6,0
ACC_00358,Basic,Education,LinkedIn,12,4.0,66.0,1,0,4,0
ACC_00359,Enterprise,SaaS,Organic Search,15,4.0,67.0,0,0,4,0
ACC_00361,Basic,Manufacturing,Paid Search,14,4.0,60.0,0,0,2,0
ACC_00362,Basic,Media,Referral,3,3.0,68.0,0,0,11,0
ACC_00363,Pro,Healthcare,Organic Search,9,4.0,64.0,1,1,8,0
ACC_00364,Pro,Manufacturing,Organic Search,7,4.0,76.0,1,1,7,0
ACC_00366,Pro,Consulting,Organic Search,6,5.0,89.0,0,0,3,0
ACC_00367,Pro,Manufacturing,Content Marketing,5,3.0,90.0,1,1,15,0
ACC_00368,Pro,SaaS,LinkedIn,15,4.0,51.0,0,0,7,0
ACC_00369,Basic,E-commerce,Organic Search,5,4.0,58.0,0,1,9,0
ACC_00370,Enterprise,E-commerce,LinkedIn,8,4.0,75.0,1,0,11,0
ACC_00371,Enterprise,Media,Organic Search,12,4.0,82.0,0,0,4,0
ACC_00372,Pro,Education,Organic Search,4,2.0,78.0,1,1,14,0
ACC_00373,Enterprise,E-commerce,Paid Search,10,4.0,78.0,1,0,13,0
ACC_00375,Pro,Education,Events,6,4.0,41.0,1,0,10,0
ACC_00376,Basic,Marketing,Paid Search,6,3.0,70.0,1,1,5,0
ACC_00377,Basic,Media,Organic Search,9,3.0,74.0,0,0,3,0
ACC_00379,Enterprise,Marketing,Organic Search,5,3.0,78.0,1,1,9,0
ACC_00380,Pro,Finance,Paid Search,15,4.0,70.0,1,0,7,0
ACC_00382,Pro,E-commerce,Paid Search,15,4.0,93.0,0,1,5,0
ACC_00384,Basic,Marketing,Events,9,3.0,102.0,0,0,3,0
ACC_00387,Enterprise,Marketing,Paid Search,14,4.0,70.0,0,0,10,0
ACC_00388,Basic,Consulting,Partnership,10,4.0,94.0,0,0,8,0
ACC_00389,Pro,Healthcare,LinkedIn,2,4.0,55.0,1,1,11,0
ACC_00391,Basic,Real Estate,LinkedIn,7,3.0,79.0,0,1,7,0
ACC_00392,Pro,Education,Partnership,12,4.0,95.0,0,1,11,0
ACC_00393,Basic,Finance,Events,13,4.0,66.0,1,0,3,0
ACC_00394,Basic,Consulting,Organic Search,17,4.0,80.0,1,1,13,0
ACC_00395,Enterprise,SaaS,Content Marketing,18,4.0,56.0,0,0,7,0
ACC_00396,Pro,Marketing,LinkedIn,17,3.0,89.0,0,0,9,0
ACC_00397,Pro,Finance,Paid Search,3,5.0,104.0,1,1,10,0
ACC_00398,Pro,Marketing,Organic Search,20,3.0,76.0,0,0,5,0
ACC_00399,Basic,Finance,Direct,12,4.0,48.0,0,0,8,0
ACC_00400,Enterprise,Real Estate,Content Marketing,7,4.0,99.0,1,0,10,0
ACC_00402,Pro,Marketing,Content Marketing,6,3.0,66.0,1,1,11,0
ACC_00403,Pro,Marketing,Organic Search,10,4.0,79.0,0,0,5,0
ACC_00404,Pro,E-commerce,Content Marketing,1,5.0,79.0,0,0,3,0
ACC_00405,Pro,E-commerce,Content Marketing,20,4.0,66.0,1,1,7,0
ACC_00406,Enterprise,Consulting,Direct,17,3.0,44.0,0,0,9,0
ACC_00407,Basic,Healthcare,Referral,5,4.0,87.0,0,0,10,0
ACC_00411,Pro,Media,LinkedIn,13,3.0,90.0,0,0,2,0
ACC_00412,Enterprise,Finance,Organic Search,17,4.0,74.0,1,0,5,0
ACC_00413,Pro,E-commerce,Content Marketing,8,4.0,75.0,1,0,6,0
ACC_00414,Enterprise,Real Estate,Paid Search,14,4.0,75.0,0,0,5,0
ACC_00416,Basic,Finance,Referral,3,4.0,59.0,1,1,9,0
ACC_00417,Pro,Education,Referral,2,4.0,101.0,0,1,13,0
ACC_00418,Enterprise,Marketing,LinkedIn,6,5.0,64.0,1,0,5,0
ACC_00419,Pro,Media,Paid Search,9,3.0,66.0,0,0,4,0
