subscription_id,account_id,plan_tier,mrr_amount,arr_amount,start_date,end_date,billing_frequency,auto_renew_flag
SUB_00040,ACC_00002,Enterprise,15642,187704,2022-09-21,,Annual,1
SUB_00041,ACC_00002,Enterprise,15642,187704,2022-10-21,,Annual,1
SUB_00042,ACC_00002,Enterprise,15642,187704,2022-11-20,,Monthly,1
SUB_00043,ACC_00002,Enterprise,15642,187704,2022-12-20,,Monthly,1
SUB_00044,ACC_00002,Enterprise,15642,187704,2023-01-19,,Monthly,1
SUB_00045,ACC_00002,Enterprise,15642,187704,2023-02-18,,Monthly,1
SUB_00046,ACC_00002,Enterprise,15642,187704,2023-03-20,,Monthly,1
SUB_00047,ACC_00002,Enterprise,15642,187704,2023-04-19,,Annual,1
SUB_00048,ACC_00002,Enterprise,15642,187704,2023-05-19,,Annual,1
SUB_00049,ACC_00002,Enterprise,15642,187704,2023-06-18,,Annual,1
SUB_00050,ACC_00002,Enterprise,15642,187704,2023-07-18,,Monthly,0
SUB_00051,ACC_00002,Enterprise,15642,187704,2023-08-17,,Monthly,1
SUB_00052,ACC_00002,Enterprise,15642,187704,2023-09-16,,Monthly,1
SUB_00053,ACC_00002,Enterprise,15642,187704,2023-10-16,,Monthly,1
SUB_00054,ACC_00003,Basic,101,1212,2023-12-16,,Monthly,1
SUB_00055,ACC_00003,Basic,101,1212,2024-01-15,,Monthly,1
SUB_00056,ACC_00003,Basic,101,1212,2024-02-14,,Monthly,1
SUB_00057,ACC_00003,Basic,101,1212,2024-03-15,,Annual,1
SUB_00058,ACC_00003,Basic,101,1212,2024-04-14,,Annual,1
SUB_00059,ACC_00003,Basic,101,1212,2024-05-14,,Annual,1
SUB_00060,ACC_00003,Basic,101,1212,2024-06-13,,Annual,1
SUB_00061,ACC_00003,Basic,101,1212,2024-07-13,,Monthly,1
SUB_00062,ACC_00003,Basic,101,1212,2024-08-12,,Monthly,1
SUB_00063,ACC_00003,Basic,101,1212,2024-09-11,,Monthly,1
SUB_00064,ACC_00003,Basic,101,1212,2024-10-11,,Annual,1
SUB_00065,ACC_00003,Basic,101,1212,2024-11-10,,Annual,1
SUB_00066,ACC_00003,Basic,101,1212,2024-12-10,,Monthly,1
SUB_00067,ACC_00004,Basic,294,3528,2022-08-15,,Monthly,1
SUB_00068,ACC_00004,Basic,294,3528,2022-09-14,,Monthly,1
SUB_00069,ACC_00004,Basic,294,3528,2022-10-14,,Annual,1
SUB_00070,ACC_00004,Basic,294,3528,2022-11-13,,Annual,1
SUB_00071,ACC_00004,Basic,294,3528,2022-12-13,,Monthly,1
SUB_00072,ACC_00004,Basic,294,3528,2023-01-12,,Annual,1
SUB_00073,ACC_00004,Basic,294,3528,2023-02-11,,Monthly,1
SUB_00074,ACC_00004,Basic,294,3528,2023-03-13,,Annual,1
SUB_00075,ACC_00004,Basic,294,3528,2023-04-12,,Monthly,1
SUB_00076,ACC_00004,Basic,294,3528,2023-05-12,,Annual,1
SUB_00077,ACC_00004,Basic,294,3528,2023-06-11,,Monthly,1
SUB_00078,ACC_00004,Basic,294,3528,2023-07-11,,Monthly,1
SUB_00079,ACC_00004,Basic,294,3528,2023-08-10,,Annual,1
SUB_00080,ACC_00004,Basic,294,3528,2023-09-09,,Monthly,1
SUB_00081,ACC_00004,Basic,294,3528,2023-10-09,,Monthly,1
SUB_00082,ACC_00004,Basic,294,3528,2023-11-08,,Monthly,1
SUB_00083,ACC_00004,Basic,294,3528,2023-12-08,,Monthly,1
SUB_00084,ACC_00004,Basic,294,3528,2024-01-07,,Annual,1
SUB_00085,ACC_00004,Basic,294,3528,2024-02-06,,Monthly,1
SUB_00086,ACC_00004,Basic,294,3528,2024-03-07,,Monthly,0
SUB_00087,ACC_00004,Basic,294,3528,2024-04-06,,Monthly,1
SUB_00088,ACC_00004,Basic,294,3528,2024-05-06,,Annual,1
SUB_00089,ACC_00004,Basic,294,3528,2024-06-05,,Monthly,1
SUB_00090,ACC_00004,Basic,294,3528,2024-07-05,,Annual,0
SUB_00091,ACC_00004,Basic,294,3528,2024-08-04,,Monthly,1
SUB_00092,ACC_00004,Basic,294,3528,2024-09-03,,Monthly,1
SUB_00093,ACC_00004,Basic,294,3528,2024-10-03,,Annual,1
SUB_00094,ACC_00004,Basic,294,3528,2024-11-02,,Annual,1
SUB_00095,ACC_00004,Basic,294,3528,2024-12-02,,Monthly,0
SUB_00096,ACC_00005,Enterprise,14478,173736,2022-09-09,,Monthly,1
SUB_00097,ACC_00005,Enterprise,14478,173736,2022-10-09,,Monthly,1
SUB_00098,ACC_00005,Enterprise,14478,173736,2022-11-08,,Monthly,1
SUB_00099,ACC_00005,Enterprise,14478,173736,2022-12-08,,Monthly,1
SUB_00100,ACC_00005,Enterprise,14478,173736,2023-01-07,,Annual,1
SUB_00101,ACC_00005,Enterprise,14478,173736,2023-02-06,,Annual,1
SUB_00102,ACC_00005,Enterprise,14478,173736,2023-03-08,,Monthly,1
SUB_00103,ACC_00005,Enterprise,14478,173736,2023-04-07,,Annual,1
SUB_00104,ACC_00005,Enterprise,14478,173736,2023-05-07,,Annual,1
SUB_00105,ACC_00005,Enterprise,14478,173736,2023-06-06,,Monthly,1
SUB_00106,ACC_00005,Enterprise,14478,173736,2023-07-06,,Monthly,1
SUB_00107,ACC_00005,Enterprise,14478,173736,2023-08-05,,Monthly,1
SUB_00108,ACC_00006,Basic,53,636,2022-11-28,,Monthly,1
SUB_00109,ACC_00006,Basic,53,636,2022-12-28,,Annual,1
SUB_00110,ACC_00006,Basic,53,636,2023-01-27,,Annual,1
SUB_00111,ACC_00006,Basic,53,636,2023-02-26,,Monthly,1
SUB_00112,ACC_00006,Basic,53,636,2023-03-28,,Monthly,1
SUB_00113,ACC_00006,Basic,53,636,2023-04-27,,Annual,1
SUB_00114,ACC_00006,Basic,53,636,2023-05-27,,Monthly,1
SUB_00115,ACC_00006,Pro,1954,23448,2023-06-26,,Monthly,1
SUB_00116,ACC_00006,Pro,1954,23448,2023-07-26,,Monthly,1
SUB_00117,ACC_00006,Pro,1954,23448,2023-08-25,,Monthly,1
SUB_00118,ACC_00006,Pro,1954,23448,2023-09-24,,Annual,1
SUB_00119,ACC_00006,Pro,1954,23448,2023-10-24,,Monthly,1
SUB_00120,ACC_00006,Pro,1954,23448,2023-11-23,,Annual,1
SUB_00121,ACC_00006,Pro,1954,23448,2023-12-23,,Monthly,1
SUB_00122,ACC_00006,Pro,1954,23448,2024-01-22,,Monthly,1
SUB_00123,ACC_00006,Pro,1954,23448,2024-02-21,,Annual,1
SUB_00124,ACC_00006,Pro,1954,23448,2024-03-22,,Annual,1
SUB_00125,ACC_00006,Pro,1954,23448,2024-04-21,,Monthly,1
SUB_00126,ACC_00006,Pro,1954,23448,2024-05-21,,Monthly,1
SUB_00127,ACC_00006,Pro,1954,23448,2024-06-20,,Monthly,1
SUB_00128,ACC_00006,Pro,1954,23448,2024-07-20,,Monthly,1
SUB_00129,ACC_00006,Pro,1954,23448,2024-08-19,,Annual,1
SUB_00130,ACC_00006,Pro,1954,23448,2024-09-18,,Monthly,1
SUB_00131,ACC_00006,Pro,1954,23448,2024-10-18,,Monthly,1
SUB_00132,ACC_00006,Pro,1954,23448,2024-11-17,,Monthly,1
SUB_00133,ACC_00006,Pro,1954,23448,2024-12-17,,Monthly,1
SUB_00134,ACC_00007,Enterprise,16742,200904,2023-01-12,,Monthly,1
SUB_00135,ACC_00007,Enterprise,16742,200904,2023-02-11,,Annual,1
SUB_00136,ACC_00007,Enterprise,16742,200904,2023-03-13,,Annual,1
SUB_00137,ACC_00007,Enterprise,16742,200904,2023-04-12,,Monthly,1
SUB_00138,ACC_00007,Enterprise,16742,200904,2023-05-12,,Monthly,1
SUB_00139,ACC_00007,Enterprise,16742,200904,2023-06-11,,Monthly,1
SUB_00140,ACC_00007,Enterprise,16742,200904,2023-07-11,,Monthly,1
SUB_00141,ACC_00007,Enterprise,16742,200904,2023-08-10,,Monthly,1
SUB_00142,ACC_00007,Enterprise,16742,200904,2023-09-09,,Monthly,0
SUB_00143,ACC_00007,Enterprise,16742,200904,2023-10-09,,Monthly,1
SUB_00144,ACC_00007,Enterprise,16742,200904,2023-11-08,,Monthly,1
SUB_00145,ACC_00007,Enterprise,16742,200904,2023-12-08,,Annual,1
SUB_00146,ACC_00007,Enterprise,16742,200904,2024-01-07,,Annual,0
SUB_00147,ACC_00007,Enterprise,16742,200904,2024-02-06,,Annual,1
SUB_00148,ACC_00007,Enterprise,16742,200904,2024-03-07,,Annual,1
SUB_00149,ACC_00007,Enterprise,16742,200904,2024-04-06,,Monthly,1
SUB_00150,ACC_00007,Enterprise,16742,200904,2024-05-06,,Monthly,1
SUB_00151,ACC_00007,Enterprise,16742,200904,2024-06-05,,Monthly,1
SUB_00152,ACC_00007,Enterprise,16742,200904,2024-07-05,,Annual,1
SUB_00153,ACC_00007,Enterprise,16742,200904,2024-08-04,,Annual,1
SUB_00154,ACC_00007,Enterprise,16742,200904,2024-09-03,,Monthly,1
SUB_00155,ACC_00007,Enterprise,16742,200904,2024-10-03,,Monthly,1
SUB_00156,ACC_00007,Enterprise,16742,200904,2024-11-02,,Annual,1
SUB_00157,ACC_00007,Enterprise,16742,200904,2024-12-02,,Monthly,1
SUB_00158,ACC_00008,Basic,268,3216,2022-08-10,,Annual,1
SUB_00159,ACC_00008,Basic,268,3216,2022-09-09,,Monthly,1
SUB_00160,ACC_00008,Basic,268,3216,2022-10-09,,Annual,1
SUB_00161,ACC_00008,Basic,268,3216,2022-11-08,,Monthly,1
SUB_00162,ACC_00008,Basic,268,3216,2022-12-08,,Monthly,1
SUB_00163,ACC_00008,Basic,268,3216,2023-01-07,,Monthly,1
SUB_00164,ACC_00008,Basic,268,3216,2023-02-06,,Annual,1
SUB_00165,ACC_00008,Basic,268,3216,2023-03-08,,Annual,1
SUB_00166,ACC_00008,Basic,268,3216,2023-04-07,,Monthly,1
SUB_00167,ACC_00008,Basic,268,3216,2023-05-07,,Annual,1
SUB_00168,ACC_00008,Basic,268,3216,2023-06-06,,Monthly,1
SUB_00169,ACC_00008,Basic,268,3216,2023-07-06,,Monthly,1
SUB_00170,ACC_00008,Basic,268,3216,2023-08-05,,Monthly,1
SUB_00171,ACC_00008,Basic,268,3216,2023-09-04,,Monthly,1
SUB_00172,ACC_00008,Basic,268,3216,2023-10-04,,Monthly,1
SUB_00173,ACC_00008,Basic,268,3216,2023-11-03,,Monthly,1
SUB_00174,ACC_00008,Basic,268,3216,2023-12-03,,Monthly,1
SUB_00175,ACC_00008,Basic,268,3216,2024-01-02,,Annual,1
SUB_00176,ACC_00008,Basic,268,3216,2024-02-01,,Monthly,1
SUB_00177,ACC_00008,Basic,268,3216,2024-03-02,,Monthly,1
SUB_00178,ACC_00008,Basic,268,3216,2024-04-01,,Annual,1
SUB_00179,ACC_00008,Basic,268,3216,2024-05-01,,Monthly,1
SUB_00180,ACC_00008,Basic,268,3216,2024-05-31,,Monthly,1
SUB_00181,ACC_00008,Basic,268,3216,2024-06-30,,Monthly,1
SUB_00182,ACC_00008,Basic,268,3216,2024-07-30,,Monthly,1
SUB_00183,ACC_00008,Basic,268,3216,2024-08-29,,Monthly,1
SUB_00184,ACC_00008,Basic,268,3216,2024-09-28,,Annual,0
SUB_00185,ACC_00008,Basic,268,3216,2024-10-28,,Annual,1
SUB_00186,ACC_00008,Pro,1536,18432,2024-11-27,,Monthly,1
SUB_00187,ACC_00008,Pro,1536,18432,2024-12-27,,Monthly,0
SUB_00188,ACC_00009,Pro,658,7896,2024-06-19,,Monthly,1
SUB_00189,ACC_00009,Pro,658,7896,2024-07-19,,Monthly,1
SUB_00190,ACC_00009,Pro,658,7896,2024-08-18,,Annual,1
SUB_00191,ACC_00009,Pro,658,7896,2024-09-17,,Monthly,1
SUB_00192,ACC_00009,Pro,658,7896,2024-10-17,,Monthly,1
SUB_00193,ACC_00009,Pro,658,7896,2024-11-16,,Monthly,1
SUB_00194,ACC_00009,Pro,658,7896,2024-12-16,,Annual,1
SUB_00195,ACC_00010,Pro,789,9468,2024-01-15,,Monthly,1
SUB_00196,ACC_00010,Pro,789,9468,2024-02-14,,Monthly,1
SUB_00197,ACC_00010,Pro,789,9468,2024-03-15,,Monthly,1
SUB_00198,ACC_00010,Pro,789,9468,2024-04-14,,Monthly,0
SUB_00199,ACC_00010,Pro,789,9468,2024-05-14,,Annual,1
SUB_00200,ACC_00010,Pro,789,9468,2024-06-13,,Monthly,1
SUB_00201,ACC_00010,Pro,789,9468,2024-07-13,,Monthly,1
SUB_00202,ACC_00010,Pro,789,9468,2024-08-12,,Annual,1
SUB_00203,ACC_00010,Pro,552,6624,2024-09-11,,Monthly,0
SUB_00204,ACC_00011,Basic,174,2088,2022-05-10,,Monthly,1
SUB_00205,ACC_00011,Basic,174,2088,2022-06-09,,Monthly,1
SUB_00206,ACC_00011,Basic,174,2088,2022-07-09,,Monthly,1
SUB_00207,ACC_00011,Basic,174,2088,2022-08-08,,Monthly,1
SUB_00208,ACC_00011,Basic,174,2088,2022-09-07,,Monthly,1
SUB_00209,ACC_00011,Basic,174,2088,2022-10-07,,Annual,1
SUB_00210,ACC_00011,Basic,174,2088,2022-11-06,,Monthly,1
SUB_00211,ACC_00011,Basic,174,2088,2022-12-06,,Monthly,1
SUB_00212,ACC_00011,Basic,174,2088,2023-01-05,,Monthly,1
SUB_00213,ACC_00011,Basic,174,2088,2023-02-04,,Monthly,1
SUB_00214,ACC_00011,Basic,174,2088,2023-03-06,,Monthly,0
SUB_00215,ACC_00011,Basic,174,2088,2023-04-05,,Monthly,1
SUB_00216,ACC_00011,Basic,174,2088,2023-05-05,,Annual,1
SUB_00217,ACC_00011,Pro,1341,16092,2023-06-04,,Annual,1
SUB_00218,ACC_00011,Pro,1341,16092,2023-07-04,,Monthly,1
SUB_00219,ACC_00011,Pro,1341,16092,2023-08-03,,Monthly,1
SUB_00220,ACC_00011,Pro,1341,16092,2023-09-02,,Annual,1
SUB_00221,ACC_00011,Pro,1341,16092,2023-10-02,,Annual,1
SUB_00222,ACC_00011,Pro,1341,16092,2023-11-01,,Monthly,1
SUB_00223,ACC_00011,Pro,1341,16092,2023-12-01,,Annual,1
SUB_00224,ACC_00011,Pro,1341,16092,2023-12-31,,Monthly,1
SUB_00225,ACC_00011,Pro,1341,16092,2024-01-30,,Monthly,1
SUB_00226,ACC_00011,Pro,1341,16092,2024-02-29,,Monthly,1
SUB_00227,ACC_00011,Pro,1341,16092,2024-03-30,,Monthly,1
SUB_00228,ACC_00011,Pro,1341,16092,2024-04-29,,Monthly,0
SUB_00229,ACC_00011,Pro,1341,16092,2024-05-29,,Monthly,1
SUB_00230,ACC_00011,Pro,1341,16092,2024-06-28,,Monthly,1
SUB_00231,ACC_00011,Pro,1341,16092,2024-07-28,,Annual,0
SUB_00232,ACC_00011,Pro,1341,16092,2024-08-27,,Monthly,1
SUB_00233,ACC_00011,Pro,1341,16092,2024-09-26,,Annual,1
SUB_00234,ACC_00011,Pro,1341,16092,2024-10-26,,Monthly,1
SUB_00235,ACC_00011,Pro,1341,16092,2024-11-25,,Monthly,1
SUB_00236,ACC_00011,Pro,1341,16092,2024-12-25,,Annual,1
SUB_00237,ACC_00012,Basic,112,1344,2022-05-19,,Annual,0
SUB_00238,ACC_00012,Basic,112,1344,2022-06-18,,Monthly,1
SUB_00239,ACC_00012,Basic,112,1344,2022-07-18,,Annual,1
SUB_00240,ACC_00012,Basic,112,1344,2022-08-17,,Annual,1
SUB_00241,ACC_00012,Basic,112,1344,2022-09-16,,Monthly,0
SUB_00242,ACC_00012,Basic,112,1344,2022-10-16,,Monthly,1
SUB_00243,ACC_00012,Basic,112,1344,2022-11-15,,Annual,1
SUB_00244,ACC_00012,Basic,112,1344,2022-12-15,,Monthly,1
SUB_00245,ACC_00012,Basic,112,1344,2023-01-14,,Monthly,1
SUB_00246,ACC_00012,Basic,112,1344,2023-02-13,,Monthly,1
SUB_00247,ACC_00012,Basic,112,1344,2023-03-15,,Annual,1
SUB_00248,ACC_00012,Basic,112,1344,2023-04-14,,Annual,1
SUB_00249,ACC_00012,Basic,112,1344,2023-05-14,,Annual,1
SUB_00250,ACC_00012,Basic,112,1344,2023-06-13,,Annual,1
SUB_00251,ACC_00012,Basic,112,1344,2023-07-13,,Annual,1
SUB_00252,ACC_00012,Basic,112,1344,2023-08-12,,Annual,1
SUB_00253,ACC_00012,Basic,112,1344,2023-09-11,,Annual,1
SUB_00254,ACC_00012,Basic,112,1344,2023-10-11,,Monthly,0
SUB_00255,ACC_00012,Basic,112,1344,2023-11-10,,Monthly,1
SUB_00256,ACC_00012,Basic,112,1344,2023-12-10,,Annual,1
SUB_00257,ACC_00012,Basic,112,1344,2024-01-09,,Annual,1
SUB_00258,ACC_00012,Basic,112,1344,2024-02-08,,Monthly,1
SUB_00259,ACC_00012,Basic,112,1344,2024-03-09,,Annual,1
SUB_00260,ACC_00012,Basic,112,1344,2024-04-08,,Monthly,1
SUB_00261,ACC_00012,Basic,112,1344,2024-05-08,,Monthly,1
SUB_00262,ACC_00012,Basic,112,1344,2024-06-07,,Monthly,1
SUB_00263,ACC_00012,Basic,112,1344,2024-07-07,,Annual,1
SUB_00264,ACC_00012,Basic,112,1344,2024-08-06,,Annual,1
SUB_00265,ACC_00012,Basic,112,1344,2024-09-05,,Monthly,1
SUB_00266,ACC_00012,Basic,112,1344,2024-10-05,,Annual,1
SUB_00267,ACC_00012,Basic,112,1344,2024-11-04,,Annual,1
SUB_00268,ACC_00012,Basic,112,1344,2024-12-04,,Annual,1
SUB_00269,ACC_00013,Pro,1615,19380,2024-11-09,,Monthly,1
SUB_00270,ACC_00013,Pro,1615,19380,2024-12-09,,Monthly,0
SUB_00271,ACC_00014,Pro,351,4212,2022-07-05,,Annual,1
SUB_00272,ACC_00014,Pro,351,4212,2022-08-04,,Monthly,1
SUB_00273,ACC_00014,Pro,351,4212,2022-09-03,,Monthly,1
SUB_00274,ACC_00014,Pro,351,4212,2022-10-03,,Monthly,1
SUB_00275,ACC_00014,Pro,351,4212,2022-11-02,,Monthly,1
SUB_00276,ACC_00014,Pro,351,4212,2022-12-02,,Monthly,1
SUB_00277,ACC_00014,Pro,351,4212,2023-01-01,,Annual,1
SUB_00278,ACC_00014,Pro,351,4212,2023-01-31,,Annual,1
SUB_00279,ACC_00014,Pro,351,4212,2023-03-02,,Monthly,1
SUB_00280,ACC_00014,Pro,351,4212,2023-04-01,,Annual,1
SUB_00281,ACC_00014,Pro,351,4212,2023-05-01,,Monthly,1
SUB_00282,ACC_00014,Pro,351,4212,2023-05-31,,Monthly,1
SUB_00283,ACC_00014,Pro,351,4212,2023-06-30,,Monthly,1
SUB_00284,ACC_00014,Pro,351,4212,2023-07-30,,Annual,1
SUB_00285,ACC_00014,Pro,351,4212,2023-08-29,,Monthly,0
SUB_00286,ACC_00014,Pro,351,4212,2023-09-28,,Monthly,1
SUB_00287,ACC_00014,Pro,351,4212,2023-10-28,,Annual,1
SUB_00288,ACC_00014,Pro,351,4212,2023-11-27,,Monthly,1
SUB_00289,ACC_00014,Pro,351,4212,2023-12-27,,Monthly,1
SUB_00290,ACC_00014,Pro,351,4212,2024-01-26,,Monthly,1
SUB_00291,ACC_00014,Pro,351,4212,2024-02-25,,Monthly,1
SUB_00292,ACC_00014,Pro,351,4212,2024-03-26,,Monthly,1
SUB_00293,ACC_00014,Pro,351,4212,2024-04-25,,Monthly,1
SUB_00294,ACC_00014,Pro,351,4212,2024-05-25,,Monthly,1
SUB_00295,ACC_00014,Pro,351,4212,2024-06-24,,Annual,1
SUB_00296,ACC_00014,Pro,351,4212,2024-07-24,,Annual,1
SUB_00297,ACC_00014,Pro,351,4212,2024-08-23,,Monthly,1
SUB_00298,ACC_00014,Pro,351,4212,2024-09-22,,Monthly,1
SUB_00299,ACC_00014,Pro,351,4212,2024-10-22,,Annual,1
SUB_00300,ACC_00014,Pro,351,4212,2024-11-21,,Annual,1
SUB_00301,ACC_00014,Pro,351,4212,2024-12-21,,Monthly,1
SUB_00302,ACC_00015,Enterprise,10560,126720,2022-07-13,,Monthly,1
SUB_00303,ACC_00015,Enterprise,10560,126720,2022-08-12,,Annual,1
SUB_00304,ACC_00015,Enterprise,10560,126720,2022-09-11,,Monthly,1
SUB_00305,ACC_00015,Enterprise,10560,126720,2022-10-11,,Monthly,1
SUB_00306,ACC_00015,Enterprise,10560,126720,2022-11-10,,Annual,1
SUB_00307,ACC_00015,Enterprise,10560,126720,2022-12-10,,Annual,1
SUB_00308,ACC_00015,Enterprise,10560,126720,2023-01-09,,Monthly,1
SUB_00309,ACC_00015,Enterprise,10560,126720,2023-02-08,,Monthly,1
SUB_00310,ACC_00015,Enterprise,10560,126720,2023-03-10,,Monthly,1
SUB_00311,ACC_00015,Enterprise,10560,126720,2023-04-09,,Monthly,1
SUB_00312,ACC_00015,Enterprise,10560,126720,2023-05-09,,Monthly,1
SUB_00313,ACC_00015,Enterprise,10560,126720,2023-06-08,,Annual,1
SUB_00314,ACC_00015,Enterprise,10560,126720,2023-07-08,,Monthly,1
SUB_00315,ACC_00015,Enterprise,10560,126720,2023-08-07,,Monthly,1
SUB_00316,ACC_00015,Enterprise,10560,126720,2023-09-06,,Monthly,1
SUB_00317,ACC_00015,Enterprise,10560,126720,2023-10-06,,Annual,1
SUB_00318,ACC_00015,Enterprise,10560,126720,2023-11-05,,Monthly,1
SUB_00319,ACC_00015,Enterprise,10560,126720,2023-12-05,,Monthly,1
SUB_00320,ACC_00015,Enterprise,10560,126720,2024-01-04,,Monthly,1
SUB_00321,ACC_00015,Enterprise,10560,126720,2024-02-03,,Annual,1
SUB_00322,ACC_00015,Enterprise,10560,126720,2024-03-04,,Monthly,1
SUB_00323,ACC_00015,Enterprise,10560,126720,2024-04-03,,Annual,1
SUB_00324,ACC_00015,Enterprise,10560,126720,2024-05-03,,Monthly,1
SUB_00325,ACC_00015,Enterprise,10560,126720,2024-06-02,,Annual,1
SUB_00326,ACC_00015,Enterprise,10560,126720,2024-07-02,,Annual,1
SUB_00327,ACC_00015,Enterprise,10560,126720,2024-08-01,,Monthly,1
SUB_00328,ACC_00015,Enterprise,10560,126720,2024-08-31,,Monthly,1
SUB_00329,ACC_00015,Enterprise,10560,126720,2024-09-30,,Annual,1
SUB_00330,ACC_00015,Enterprise,10560,126720,2024-10-30,,Monthly,1
SUB_00331,ACC_00015,Enterprise,10560,126720,2024-11-29,,Annual,1
SUB_00332,ACC_00015,Enterprise,10560,126720,2024-12-29,,Annual,1
SUB_00333,ACC_00016,Pro,682,8184,2022-01-17,,Annual,1
SUB_00334,ACC_00016,Pro,682,8184,2022-02-16,,Monthly,1
SUB_00335,ACC_00016,Pro,682,8184,2022-03-18,,Monthly,1
SUB_00336,ACC_00016,Pro,682,8184,2022-04-17,,Monthly,1
SUB_00337,ACC_00016,Pro,682,8184,2022-05-17,,Monthly,1
SUB_00338,ACC_00016,Pro,682,8184,2022-06-16,,Annual,1
SUB_00339,ACC_00016,Pro,682,8184,2022-07-16,,Monthly,1
SUB_00340,ACC_00016,Pro,682,8184,2022-08-15,,Monthly,1
SUB_00341,ACC_00016,Pro,682,8184,2022-09-14,,Annual,1
SUB_00342,ACC_00016,Pro,682,8184,2022-10-14,,Monthly,1
SUB_00343,ACC_00016,Pro,682,8184,2022-11-13,,Monthly,0
SUB_00344,ACC_00016,Pro,682,8184,2022-12-13,,Monthly,1
SUB_00345,ACC_00016,Pro,682,8184,2023-01-12,,Monthly,1
SUB_00346,ACC_00016,Pro,682,8184,2023-02-11,,Monthly,1
SUB_00347,ACC_00016,Pro,682,8184,2023-03-13,,Monthly,1
SUB_00348,ACC_00016,Pro,682,8184,2023-04-12,,Monthly,1
SUB_00349,ACC_00016,Pro,682,8184,2023-05-12,,Monthly,1
SUB_00350,ACC_00016,Pro,682,8184,2023-06-11,,Annual,1
SUB_00351,ACC_00016,Pro,682,8184,2023-07-11,,Annual,1
SUB_00352,ACC_00016,Pro,682,8184,2023-08-10,,Monthly,1
SUB_00353,ACC_00016,Pro,682,8184,2023-09-09,,Monthly,1
SUB_00354,ACC_00016,Pro,682,8184,2023-10-09,,Monthly,1
SUB_00355,ACC_00016,Pro,682,8184,2023-11-08,,Monthly,1
SUB_00356,ACC_00016,Pro,682,8184,2023-12-08,,Annual,1
SUB_00357,ACC_00016,Pro,682,8184,2024-01-07,,Monthly,1
SUB_00358,ACC_00016,Pro,682,8184,2024-02-06,,Monthly,1
