ticket_id,account_id,created_date,resolved_date,priority,category,resolution_time_hours,satisfaction_score,escalation_flag
TKT_000132,ACC_00015,2023-06-29,2023-06-29,High,How-To,6.0,4.0,0
TKT_000133,ACC_00015,2023-05-26,2023-05-29,Low,Billing,76.0,1.0,0
TKT_000134,ACC_00016,2024-01-06,2024-01-07,Medium,Performance,24.0,3.0,0
TKT_000135,ACC_00016,2024-01-03,2024-01-06,Low,Integration,77.0,,0
TKT_000136,ACC_00016,2024-06-25,2024-06-29,Low,Performance,113.0,2.0,0
TKT_000137,ACC_00016,2022-10-18,2022-10-21,Low,Billing,95.0,,0
TKT_000138,ACC_00016,2022-10-29,2022-10-29,High,Performance,21.0,4.0,0
TKT_000139,ACC_00016,2024-08-15,2024-08-18,Low,Performance,92.0,,0
TKT_000140,ACC_00016,2023-02-10,2023-02-10,Medium,Bug,20.0,4.0,0
TKT_000141,ACC_00016,2023-06-13,2023-06-17,Low,How-To,112.0,5.0,0
TKT_000142,ACC_00016,2022-08-22,2022-08-22,Medium,Integration,22.0,4.0,0
TKT_000143,ACC_00016,2022-06-18,2022-06-18,High,Billing,7.0,,0
TKT_000144,ACC_00016,2022-08-13,2022-08-14,Medium,Feature Request,46.0,,0
TKT_000145,ACC_00016,2023-02-09,2023-02-12,Low,Integration,94.0,4.0,0
TKT_000146,ACC_00016,2022-08-31,2022-09-03,Low,Billing,80.0,4.0,0
TKT_000147,ACC_00016,2023-12-29,2023-12-29,High,Integration,13.0,5.0,0
TKT_000148,ACC_00016,2023-09-23,2023-09-24,Low,How-To,40.0,3.0,0
TKT_000149,ACC_00016,2022-05-15,2022-05-15,High,Feature Request,19.0,2.0,0
TKT_000150,ACC_00016,2022-09-29,2022-10-01,Low,Feature Request,57.0,5.0,1
TKT_000151,ACC_00016,2023-02-05,2023-02-07,Low,Integration,69.0,,0
TKT_000152,ACC_00016,2023-06-19,2023-06-19,High,How-To,16.0,5.0,0
TKT_000153,ACC_00016,2023-08-02,2023-08-02,High,How-To,19.0,3.0,0
TKT_000154,ACC_00017,2024-11-21,2024-11-23,Low,Billing,50.0,4.0,0
TKT_000155,ACC_00017,2024-04-06,2024-04-08,Medium,Performance,63.0,4.0,0
TKT_000156,ACC_00017,2024-05-16,2024-05-17,Low,How-To,37.0,4.0,0
TKT_000157,ACC_00017,2024-03-08,2024-03-08,Medium,Bug,12.0,,0
TKT_000158,ACC_00017,2023-06-27,2023-06-27,Medium,Billing,12.0,3.0,0
TKT_000159,ACC_00017,2024-05-03,2024-05-04,Low,How-To,46.0,2.0,0
TKT_000160,ACC_00017,2024-07-06,2024-07-06,Critical,Performance,6.0,5.0,0
TKT_000161,ACC_00017,2023-10-13,2023-10-15,Medium,Integration,67.0,3.0,1
TKT_000162,ACC_00017,2023-04-24,2023-04-30,Low,Feature Request,154.0,,0
TKT_000163,ACC_00017,2024-04-06,2024-04-11,Low,Performance,124.0,5.0,0
TKT_000164,ACC_00017,2024-09-06,2024-09-09,Low,Integration,73.0,,0
TKT_000165,ACC_00017,2023-09-22,2023-09-23,Low,Billing,45.0,5.0,0
TKT_000166,ACC_00018,2024-03-22,2024-03-23,Low,Billing,25.0,4.0,0
TKT_000167,ACC_00018,2024-09-27,2024-09-29,Low,Performance,50.0,3.0,0
TKT_000168,ACC_00018,2024-03-17,2024-03-17,High,Billing,9.0,5.0,0
TKT_000169,ACC_00018,2024-05-10,2024-05-10,High,How-To,15.0,,0
TKT_000170,ACC_00018,2024-11-04,2024-11-08,Low,Bug,115.0,5.0,0
TKT_000171,ACC_00018,2024-09-16,2024-09-18,Low,Billing,68.0,5.0,0
TKT_000172,ACC_00019,2023-03-26,2023-03-29,Low,Feature Request,72.0,4.0,0
TKT_000173,ACC_00019,2024-10-08,2024-10-08,Medium,Integration,12.0,,0
TKT_000174,ACC_00019,2024-06-28,2024-07-02,Low,Billing,112.0,5.0,0
TKT_000175,ACC_00019,2024-07-11,2024-07-16,Low,How-To,122.0,3.0,0
TKT_000176,ACC_00019,2023-01-12,2023-01-14,Low,Feature Request,58.0,,0
TKT_000177,ACC_00019,2022-12-14,2022-12-16,Medium,Billing,52.0,4.0,0
TKT_000178,ACC_00019,2024-09-18,2024-09-22,Low,Feature Request,109.0,5.0,0
TKT_000179,ACC_00019,2024-02-26,2024-02-26,High,Integration,13.0,3.0,1
TKT_000180,ACC_00020,2024-05-04,2024-05-04,Medium,Integration,18.0,1.0,0
TKT_000181,ACC_00020,2023-08-17,2023-08-18,Medium,How-To,37.0,1.0,0
TKT_000182,ACC_00020,2023-05-15,2023-05-21,Low,Billing,148.0,3.0,1
TKT_000183,ACC_00020,2022-12-01,2022-12-06,Low,Performance,141.0,4.0,0
TKT_000184,ACC_00020,2024-07-04,2024-07-10,Low,Feature Request,156.0,1.0,0
TKT_000185,ACC_00020,2024-11-02,2024-11-02,High,How-To,11.0,5.0,0
TKT_000186,ACC_00020,2024-12-21,2024-12-23,Low,How-To,58.0,5.0,0
TKT_000187,ACC_00020,2022-05-22,2022-05-26,Low,Feature Request,112.0,4.0,0
TKT_000188,ACC_00020,2022-03-18,2022-03-19,Medium,Integration,42.0,4.0,0
TKT_000189,ACC_00020,2022-11-26,2022-12-01,Low,Integration,139.0,3.0,0
TKT_000190,ACC_00020,2023-06-20,2023-06-20,Critical,Bug,7.0,4.0,0
TKT_000191,ACC_00020,2023-10-21,2023-10-22,Low,Integration,42.0,4.0,0
TKT_000192,ACC_00020,2023-09-14,2023-09-14,Critical,Feature Request,6.0,,0
TKT_000193,ACC_00020,2023-06-16,2023-06-22,Low,Billing,152.0,,0
TKT_000194,ACC_00020,2022-07-13,2022-07-14,Medium,Billing,40.0,3.0,0
TKT_000195,ACC_00020,2024-01-17,2024-01-18,Low,Performance,40.0,,0
TKT_000196,ACC_00020,2022-12-05,2022-12-10,Low,Performance,138.0,3.0,0
TKT_000197,ACC_00020,2023-12-22,2023-12-25,Low,Integration,85.0,4.0,0
TKT_000198,ACC_00021,2023-06-27,2023-06-29,Medium,Performance,60.0,,0
TKT_000199,ACC_00021,2024-01-09,2024-01-12,Low,Bug,89.0,3.0,0
TKT_000200,ACC_00021,2024-05-28,2024-05-31,Low,Billing,85.0,5.0,0
TKT_000201,ACC_00021,2024-09-25,2024-10-01,Low,Bug,158.0,3.0,0
TKT_000202,ACC_00021,2024-11-14,2024-11-20,Low,Bug,151.0,4.0,0
TKT_000203,ACC_00022,2022-09-24,2022-09-27,Low,Feature Request,77.0,,0
TKT_000204,ACC_00022,2024-12-13,2024-12-16,Low,Performance,76.0,,0
TKT_000205,ACC_00022,2023-07-20,2023-07-24,Low,Billing,102.0,5.0,0
TKT_000206,ACC_00022,2023-10-19,2023-10-21,Low,Bug,62.0,,0
TKT_000207,ACC_00022,2024-11-11,2024-11-11,High,How-To,13.0,4.0,0
TKT_000208,ACC_00022,2022-09-14,2022-09-16,Medium,Integration,51.0,3.0,0
TKT_000209,ACC_00022,2024-08-09,2024-08-14,Low,Integration,131.0,4.0,0
TKT_000210,ACC_00022,2023-04-09,2023-04-10,Medium,Performance,43.0,5.0,0
TKT_000211,ACC_00022,2024-06-30,2024-06-30,High,Billing,7.0,5.0,0
TKT_000212,ACC_00022,2023-12-12,2023-12-16,Low,Integration,97.0,,0
TKT_000213,ACC_00022,2023-11-24,2023-11-26,Low,Integration,54.0,1.0,0
TKT_000214,ACC_00022,2022-12-11,2022-12-15,Low,How-To,98.0,1.0,0
TKT_000215,ACC_00023,2024-10-30,2024-10-31,Low,Integration,44.0,5.0,0
TKT_000216,ACC_00023,2023-04-28,2023-04-30,Low,Feature Request,65.0,3.0,0
TKT_000217,ACC_00023,2024-05-21,2024-05-23,Low,Billing,53.0,,0
TKT_000218,ACC_00023,2023-05-27,2023-06-02,Low,Bug,144.0,4.0,0
TKT_000219,ACC_00023,2023-02-24,2023-02-26,Medium,Performance,55.0,4.0,0
TKT_000220,ACC_00023,2022-12-05,2022-12-05,High,Integration,11.0,,0
TKT_000221,ACC_00023,2024-01-05,2024-01-06,Medium,How-To,39.0,5.0,0
TKT_000222,ACC_00023,2023-04-06,2023-04-06,High,Billing,21.0,,0
TKT_000223,ACC_00023,2022-10-06,2022-10-07,Low,Performance,42.0,5.0,0
TKT_000224,ACC_00023,2024-10-01,2024-10-05,Low,Bug,112.0,1.0,0
TKT_000225,ACC_00023,2023-07-06,2023-07-11,Low,Feature Request,132.0,5.0,0
TKT_000226,ACC_00023,2024-09-28,2024-09-30,Medium,Billing,59.0,2.0,0
TKT_000227,ACC_00023,2024-10-23,2024-10-26,Low,Integration,83.0,4.0,0
TKT_000228,ACC_00023,2023-05-03,2023-05-06,Low,Performance,86.0,4.0,0
TKT_000229,ACC_00023,2023-08-16,2023-08-18,Medium,Bug,57.0,4.0,0
TKT_000230,ACC_00023,2023-10-29,2023-11-04,Low,Bug,144.0,1.0,0
TKT_000231,ACC_00023,2024-06-26,2024-07-01,Low,How-To,126.0,5.0,0
TKT_000232,ACC_00023,2023-04-16,2023-04-16,Critical,Integration,1.0,,0
TKT_000233,ACC_00024,2023-03-19,2023-03-21,Medium,Billing,70.0,5.0,0
TKT_000234,ACC_00024,2024-05-03,2024-05-04,Low,Performance,37.0,4.0,0
TKT_000235,ACC_00024,2023-09-05,2023-09-10,Low,Billing,143.0,,0
TKT_000236,ACC_00024,2024-08-28,2024-08-30,Low,How-To,70.0,4.0,0
TKT_000237,ACC_00024,2024-01-10,2024-01-15,Low,Feature Request,127.0,4.0,0
TKT_000238,ACC_00025,2024-11-05,2024-11-05,Critical,How-To,1.0,1.0,0
TKT_000239,ACC_00025,2024-12-05,2024-12-11,Low,Performance,151.0,5.0,0
TKT_000240,ACC_00025,2024-08-14,2024-08-16,Medium,How-To,69.0,3.0,0
TKT_000241,ACC_00025,2024-11-15,2024-11-17,Low,Bug,52.0,1.0,0
TKT_000242,ACC_00025,2024-11-19,2024-11-23,Low,Billing,116.0,,0
TKT_000243,ACC_00026,2024-02-23,2024-02-23,High,Integration,14.0,3.0,0
TKT_000244,ACC_00026,2023-10-16,2023-10-18,Low,How-To,58.0,,0
TKT_000245,ACC_00026,2023-08-30,2023-08-31,Low,Integration,29.0,3.0,0
TKT_000246,ACC_00026,2023-10-06,2023-10-07,Low,Feature Request,43.0,2.0,0
TKT_000247,ACC_00026,2023-07-17,2023-07-17,High,Billing,9.0,4.0,0
TKT_000248,ACC_00026,2023-03-30,2023-04-02,Low,How-To,85.0,,1
TKT_000249,ACC_00026,2023-08-26,2023-08-27,Medium,Feature Request,25.0,2.0,1
TKT_000250,ACC_00026,2023-09-18,2023-09-19,Medium,Bug,32.0,,0
TKT_000251,ACC_00026,2023-05-04,2023-05-06,Low,Integration,49.0,,0
TKT_000252,ACC_00026,2024-05-02,2024-05-03,Low,Feature Request,33.0,5.0,0
TKT_000253,ACC_00026,2023-11-13,2023-11-16,Low,How-To,89.0,5.0,0
TKT_000254,ACC_00026,2023-10-20,2023-10-23,Low,Billing,91.0,3.0,0
TKT_000255,ACC_00026,2023-05-29,2023-05-31,Low,Performance,52.0,,0
TKT_000256,ACC_00026,2023-07-24,2023-07-27,Low,Feature Request,79.0,1.0,0
TKT_000257,ACC_00026,2023-01-24,2023-01-29,Low,Billing,136.0,3.0,0
TKT_000258,ACC_00026,2023-11-26,2023-11-26,High,Feature Request,22.0,1.0,0
TKT_000259,ACC_00026,2023-06-01,2023-06-07,Low,Bug,151.0,3.0,0
TKT_000260,ACC_00027,2023-04-03,2023-04-05,Medium,Performance,68.0,3.0,0
TKT_000261,ACC_00027,2024-05-25,2024-05-25,High,Feature Request,20.0,5.0,0
TKT_000262,ACC_00027,2022-06-29,2022-06-29,High,Performance,13.0,4.0,0
TKT_000263,ACC_00027,2024-08-30,2024-09-01,Medium,Integration,57.0,5.0,0
TKT_000264,ACC_00027,2024-04-12,2024-04-12,Critical,Performance,1.0,3.0,0
TKT_000265,ACC_00027,2024-10-16,2024-10-18,Medium,Bug,71.0,5.0,0
TKT_000266,ACC_00027,2024-02-16,2024-02-20,Low,Performance,96.0,,0
TKT_000267,ACC_00028,2024-09-05,2024-09-05,High,Integration,13.0,1.0,0
TKT_000268,ACC_00028,2023-10-08,2023-10-11,Low,Feature Request,81.0,3.0,0
TKT_000269,ACC_00028,2024-06-23,2024-06-24,Medium,Integration,46.0,5.0,0
TKT_000270,ACC_00028,2024-11-29,2024-11-29,Critical,Feature Request,6.0,4.0,0
TKT_000271,ACC_00028,2023-12-15,2023-12-18,Low,Integration,81.0,4.0,0
TKT_000272,ACC_00028,2023-05-20,2023-05-22,Medium,Performance,54.0,1.0,0
TKT_000273,ACC_00028,2023-06-13,2023-06-18,Low,Billing,126.0,4.0,0
TKT_000274,ACC_00028,2024-10-04,2024-10-06,Medium,Integration,65.0,5.0,0
TKT_000275,ACC_00028,2024-02-28,2024-02-28,High,Integration,6.0,,0
TKT_000276,ACC_00028,2023-10-06,2023-10-09,Low,Feature Request,88.0,4.0,1
TKT_000277,ACC_00029,2024-07-09,2024-07-10,Low,Integration,40.0,1.0,0
TKT_000278,ACC_00029,2024-12-29,2024-12-30,Medium,Bug,31.0,5.0,0
TKT_000279,ACC_00031,2024-11-22,2024-11-26,Low,Feature Request,99.0,4.0,0
TKT_000280,ACC_00031,2024-02-29,2024-03-02,Low,How-To,55.0,2.0,0
TKT_000281,ACC_00031,2024-02-09,2024-02-15,Low,Bug,161.0,,0
TKT_000282,ACC_00031,2024-02-08,2024-02-11,Low,Billing,88.0,5.0,0
TKT_000283,ACC_00032,2024-07-24,2024-07-25,Low,How-To,28.0,3.0,0
TKT_000284,ACC_00032,2023-05-20,2023-05-21,Medium,Bug,35.0,,0
TKT_000285,ACC_00032,2022-04-02,2022-04-02,Critical,How-To,4.0,,0
TKT_000286,ACC_00032,2023-10-17,2023-10-21,Low,Bug,111.0,2.0,0
TKT_000287,ACC_00032,2024-10-28,2024-11-01,Low,Feature Request,100.0,3.0,0
TKT_000288,ACC_00032,2022-03-31,2022-04-02,Low,How-To,59.0,5.0,0
TKT_000289,ACC_00032,2022-05-11,2022-05-17,Low,How-To,167.0,2.0,0
TKT_000290,ACC_00032,2022-09-20,2022-09-26,Low,Performance,160.0,4.0,0
TKT_000291,ACC_00032,2023-11-21,2023-11-21,High,Billing,15.0,3.0,0
TKT_000292,ACC_00032,2024-09-06,2024-09-07,Low,Billing,45.0,,0
TKT_000293,ACC_00032,2023-06-16,2023-06-22,Low,Billing,149.0,5.0,0
TKT_000294,ACC_00033,2024-03-12,2024-03-14,Low,How-To,69.0,3.0,0
TKT_000295,ACC_00033,2022-09-15,2022-09-16,Low,How-To,30.0,1.0,0
TKT_000296,ACC_00033,2024-10-18,2024-10-23,Low,Integration,132.0,1.0,0
TKT_000297,ACC_00033,2023-02-08,2023-02-11,Low,Performance,76.0,,0
TKT_000298,ACC_00033,2022-04-26,2022-04-27,Medium,Performance,31.0,4.0,0
TKT_000299,ACC_00033,2022-03-25,2022-03-25,Critical,Integration,5.0,3.0,0
TKT_000300,ACC_00033,2022-06-16,2022-06-17,Medium,How-To,46.0,3.0,1
TKT_000301,ACC_00033,2023-09-27,2023-09-30,Low,How-To,93.0,5.0,0
TKT_000302,ACC_00033,2024-08-15,2024-08-21,Low,Performance,167.0,,0
TKT_000303,ACC_00033,2022-08-09,2022-08-14,Low,Billing,129.0,,0
TKT_000304,ACC_00033,2023-11-02,2023-11-03,Low,Billing,47.0,,0
TKT_000305,ACC_00033,2023-12-14,2023-12-17,Low,Billing,78.0,4.0,0
TKT_000306,ACC_00033,2023-08-03,2023-08-05,Low,Feature Request,70.0,5.0,0
TKT_000307,ACC_00033,2023-01-04,2023-01-09,Low,Feature Request,126.0,3.0,0
TKT_000308,ACC_00033,2022-06-22,2022-06-22,High,How-To,7.0,2.0,0
TKT_000309,ACC_00033,2023-10-19,2023-10-23,Low,Bug,104.0,,0
TKT_000310,ACC_00033,2022-09-20,2022-09-20,Critical,Feature Request,6.0,3.0,0
